"Article Title","Companies","Phone","Email Address","Address","Article Link","Date Created"
"High Times Greats: John Sinclair","Elektra Records
NORML
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 ","","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
","https://hightimes.com/culture/high-times-greats-john-sinclair/","November 13 2023 04:16"
"Seven ways to add CBD to your wellness routine","TheFreshToast.com
Skipta
The GrowthOp
Postmedia Network Inc.
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 ","","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
","https://www.thegrowthop.com/wellness/seven-ways-to-add-cbd-to-your-wellness-routine","November 13 2023 04:16"
"Product Lines Multiply in Minor Cannabinoids, New CBD Formulas","Brightfield Group
GenCanna
Pyxus International
Myaderm
United Cannabis Corp.
Atalo Holdings
Oregon State University
U.S. Department of Agriculture (USDA)
Wild By Nature
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 (318) 216-5841
 (318) 584-7230
 (318) 584-7230
 416-383-2300
 1(877)340-6070
 (202) 720-2791
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
industrialhemp@cdfa.ca.gov
contact@californiahempcoalition.org
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
9109 DYER ST STE H,EL PASO,TX,US,79924-6429
934 E 70th St,Shreveport,LA,USA,71106
4726 E Texas St. Ste 200,Bossier City,LA,USA,71111
4380 Western Center Blvd,Fort Worth,TX,USA,
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
null,Sacramento,California,USA,null
1220 ""N"" Street,Sacramento,CA,USA,95814
Nakło 74,Lelów,,Poland,42-235
","https://hemptoday.net/product-lines-multiply-in-minor-cannabinoids-new-cbd-formulas/","November 13 2023 04:16"
"Ban on Smokable Hemp Products Overturned by Texas Judge","Texas Department of State Health Services
Texas Cannabis Collective
Wild Hemp
America Juice Co.
1937 Apothecary
Custom Botanical Dispensary
Texas Hemp Growers
Ritter Spencer law firm
Midwest Hemp Council
PowerZone Agriculture
HempToday
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 ","","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
","https://hemptoday.net/ban-on-smokable-hemp-products-overturned-by-texas-judge/","November 13 2023 04:16"
"Secret histories of drugs — legal and illegal — in southern Africa","The GrowthOp
Postmedia Network Inc
University of Johannesburg
University of KwaZulu-Natal
University of Pretoria
University of Cape Town
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 (318) 216-5841
 (318) 584-7230
 (318) 584-7230
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
9109 DYER ST STE H,EL PASO,TX,US,79924-6429
934 E 70th St,Shreveport,LA,USA,71106
4726 E Texas St. Ste 200,Bossier City,LA,USA,71111
4380 Western Center Blvd,Fort Worth,TX,USA,
","https://www.thegrowthop.com/cannabis-news/secret-histories-of-drugs-legal-and-illegal-in-southern-africa","November 13 2023 04:16"
"4 Ways To Enhance Your Beauty With CBD","The Joint Blog
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 (318) 216-5841
 (318) 584-7230
 (318) 584-7230
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
9109 DYER ST STE H,EL PASO,TX,US,79924-6429
934 E 70th St,Shreveport,LA,USA,71106
4726 E Texas St. Ste 200,Bossier City,LA,USA,71111
4380 Western Center Blvd,Fort Worth,TX,USA,
","https://thejointblog.com/4-ways-to-enhance-your-beauty-with-cbd/","November 13 2023 04:16"
"Hemp Is Much More Than CBD","Cowen Research
FDA
Harris Bricken
Indeed
HempStaff
Wachtell
Breaking Media, Inc.
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
","https://abovethelaw.com/2021/03/hemp-is-much-more-than-cbd/","November 13 2023 04:16"
"Cannabis E-Commerce Startup Jane Technologies Raises $100m ","Jane Technologies
Honor Ventures
High Tide
Shopify
eBay
Green Dragon
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 ","","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
","https://techcrunch.com/2021/08/25/cannabis-e-commerce-startup-jane-technologies-raises-100m-after-stellar-growth/","November 13 2023 04:16"
"Blog: Hemp Can Save the World!""","Colorado Springs Indy
CBD startup
Hearst
plastic companies
Pharmaceutical companies
timber industry
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 (318) 216-5841
 (318) 584-7230
 (318) 584-7230
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
9109 DYER ST STE H,EL PASO,TX,US,79924-6429
934 E 70th St,Shreveport,LA,USA,71106
4726 E Texas St. Ste 200,Bossier City,LA,USA,71111
4380 Western Center Blvd,Fort Worth,TX,USA,
","https://www.csindy.com/food_and_culture/cannabis/blog-hemp-can-save-the-world/article_e85687a6-0685-11ec-980c-2ba312b743a1.html","November 13 2023 04:16"
"What Are the Weirdest Cannabis Names From 1920 to 1975?","Drug Enforcement Administration
The GrowthOp
Postmedia Network Inc
","(702) 564-8595
 (866) 782-9487
 1.833.YOU.VAPE
 1.833.968.8273
 (512) 645-0510
 (512) 645-0510
 (512) 846-3420
 (512) 846-3420
 416-383-2300
 (707) 567-1790
 1-888-330-0010
 206-224-5657
 (318) 216-5841
 (318) 584-7230
 (318) 584-7230
 416-383-2300
 ","firm@harris-sliwoski.com
jobs@breakingmedia.com
","2225 Village Walk Dr Ste 171,Henderson,NV,USA,89052
308 W Sahara Ave,Las Vegas,NV,United States,89102
1600 W. Lexington Ave.,Las Vegas,Nevada,US,
7430 Louis Pasteur,,Texas,USA,
2168 Congressman Lane #300,Dallas,Texas,USA,75220
906 E. 5th St. Suite 105,Austin,TX,USA,78702
13450 N Research Blvd, #100,Austin,TX,USA,
906 E 5th Street STE. 105,Austin,TX,USA,78702
Nakło 74,Lelów,,,42-235
P.O. Box 12021,Seattle,Washington,USA,98102
null,New York,NY,USA,null
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
Not mentioned,Menlo Park,California,United States,Not mentioned
Not mentioned,Redwood City,California,United States,Not mentioned
,San Jose,CA,USA,
1988 Broadway St,Vallejo,California,United States,94589
600 Stewart Street Suite 1200,Seattle,WA,USA,98101
9109 DYER ST STE H,EL PASO,TX,US,79924-6429
934 E 70th St,Shreveport,LA,USA,71106
4726 E Texas St. Ste 200,Bossier City,LA,USA,71111
4380 Western Center Blvd,Fort Worth,TX,USA,
365 Bloor Street East,Toronto,Ontario,Canada,M4W 3L4
","https://www.thegrowthop.com/cannabis-news/what-are-the-weirdest-weed-names-from-1920-to-1975","November 13 2023 04:16"
